,Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Introduced countries,Seas,Islands,Biome,Climate,Seasonal behavior,Predators,Bird's call,Mating behavior,Reproduction season,Pregnancy duration,Baby carrying,Independent age,Female name,Male name,Baby name,Incubation period,Population trend,Population status
46,Reindeer,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Rangifer,Rangifer tarandus,"2,890,410",15-20 yrs,80 km/h,80-182 kg,85-150 cm,162-214 cm,Iceland,,,"['Forest', 'Grassland', 'Mountains', 'Montane forest']","['Cold', 'Polar', 'Temperate']",Migrating,,,Polygyny,October-November,210-240 days,1 fawn,1 month,"doe, hind","buck, stag",fawn,,Decreasing,Vulnerable (VU)
47,Elk,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Cervus,Cervus canadensis,2 mln,8-20 yrs,56 km/h,225-320 kg,1.3-1.5 m,2-2.5 m,Italy,,,"['Forest', 'Grassland', 'Shrubland', 'Woodland', 'Mountains']","['Temperate', 'Cold']",Altitudinal Migrant,,,Polygyny,September-October,240-262 days,1 calf,2 months,doe,"buck, stag","calf, fawn",,Increasing,Least concern (LC)
48,Ocelot,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Leopardus,Leopardus pardalis,Unknown,7-20 yrs,61 km/h,8-18 kg,,68-100 cm,,,,"['Forest', 'Marsh', 'Wetlands ', 'Rainforest', 'Grassland', 'Shrubland', 'Savanna']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,,Polygyny,"Year-round, late summer in the northern and southern parts of the range",85 days,2-3 kittens,1 year,queen,tomcat,kitten,,Decreasing,Least concern (LC)
49,Coypu,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Echimyidae,Myocastor,Myocastor coypus,Unknown,6-10 yrs,,4-9 kg,,40-60 cm,"Japan, United States",,,"['Lakes', 'Brackish water', 'Forest', 'Freshwater', 'Marsh', 'Wetlands ', 'Riparian', 'Rivers', 'Grassland', 'Shrubland', 'Anthropogenic biome', 'Estuaries', 'Swamp']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,,Polygyny,Year-round,127-139 days,3-6 kits,7-8 weeks,,,kit,,Decreasing,Least concern (LC)
50,Sugar Glider,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Petauridae,Petaurus,Petaurus breviceps,Unknown,4-14 yrs,,100-160 g,,24-30 cm,,,,"['Anthropogenic biome', 'Savanna', 'Forest', 'Montane forest', 'Mountains', 'Agricultural', 'Rainforest']","['Tropical', 'Temperate']",Not a migrant,,,Polygyny,"year-round in the North, peaks in June-November in the South",16 days,1-2 joeys,7-10 months,,,joey,,Stable,Least concern (LC)
51,Common Chimpanzee,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Hominidae,Pan,Pan troglodytes,,50-60 yrs,40 km/h,32-60 kg,1.3-1.6 m,63-94 cm,,,,"['Forest', 'Rainforest', 'Savanna', 'Woodland', 'Montane forest']",['Tropical'],Not a migrant,,,Polygyny,Year-round,8 months,1 infant,4-6 years,female,male,infant,,Decreasing,Endangered (EN)
52,Serval,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Leptailurus,Leptailurus serval,,,,9-18 kg,,60 cm,,,,"['Grassland', 'Freshwater', 'Forest', 'Savanna', 'Wetlands ']","['Temperate', 'Tropical']",Not a migrant,,,"Polygyny,",,65 to 75 days,2 to 3,1 to 1.5 years,,,,,Stable,Least concern (LC)
53,Bush Rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Rattus,Rattus fuscipes,Unknown,1-5 yrs,,,,12-21 cm,,,,"['Forest', 'Savanna', 'Shrubland', 'Mountains']","['Tropical', 'Temperate']",Not a migrant,,,,starts in November,22-24 days,4-5 pups,20-25 days,doe,buck,"pup, pinkie, kit",,Stable,Least concern (LC)
54,Okapi,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Giraffidae,Okapia,Okapia johnstoni,30-50 Thou,20-33 yrs,60 km/h,200-350 kg,1.5 m,2.5 m,,,,"['Forest', 'Rainforest', 'Riparian']",['Tropical'],Not a migrant,,,Polygyny,August-October,16 months,1 calf,,doe,bull,calf,,Decreasing,Endangered (EN)
55,Humpback Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Balaenopteridae,Megaptera,Megaptera novaeangliae,"60,000",100 yrs,17 km/h,25-30 t,,13-16 m,,,,"['Oceanic pelagic zone', 'Neritic zone', 'Benthic', 'Coastal', 'Marine']","['Tropical', 'Temperate', 'Polar']",Migrating,,,Polygyny,winter in tropical waters,11.5 months,1 calf,1 year,cow,bull,calf,,Increasing,Least concern (LC)
56,Caracal,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Caracal,Caracal caracal,Unknown,12-17 yrs,80 km/h,8-18 kg,40-50 cm,73-78 cm,,,,"['Forest', 'Mountains', 'Grassland', 'Shrubland', 'Savanna', 'Woodland', 'Suburban']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,,Polygynandry,August-December,10-11 weeks,3 kittens,9-10 months,,,kitten,,,
57,Arctic Fox,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Vulpes,Vulpes lagopus,Unknown,3-14 yrs,45 km/h,1.4-9.4 kg,25-30 cm,52-55 cm,,,,"['Icecap', 'Mountains', 'Rocky areas ']",['Polar'],Not a migrant,,,Monogamy,April-May,52 days,6-19 cubs,,vixen,"reynard, tod","kit, cub, pup",,Stable,Least concern (LC)
58,Fennec Fox,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Vulpes,Vulpes zerda,Unknown,10-12 yrs,40 km/h,0.68-1.6 kg,20 cm,24-41 cm,,,,"['Coastal', 'Dunes']","['Arid', 'Temperate', 'Tropical']",Not a migrant,,,Monogamy,January-February,50 days,2-4 kits,60-70 days,vixen,"reynard, tod","kit, cub, pup",,Stable,Least concern (LC)
59,Muskart,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Ondatra,Ondatra zibethicus,Unknown,3-10 yrs,4.8 km/h,0.6-2 kg,,40-70 cm,"Albania, Argentina, Austria, Belarus, Belgium, Bulgaria, Chile, Czech Republic, Estonia, Finland,",,,"['Bog', 'Wetlands ', 'Lakes', 'Marsh', 'Rivers', 'Swamp', 'Freshwater', 'Brackish water']","['Temperate', 'Cold']",Not a migrant,,,Polygynandry,March-August,,5-10 kits,6 weeks,,,kit,,Stable,Least concern (LC)
60,Asian Lion,Lion,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera leo persica,350,16-18 yrs,56 km/h,110-190 kg,,,,['Forest'],['Arid'],Not a migrant,,,Polygyny,any time of the year,100-119 days,1-6 cubs,1 year,lioness,lion,cub,,Stable,Endangered (EN)
61,Ermine,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Mustela,Mustela erminea,Unknown,1-12.5 yrs,,180-258 g,,170-325 mm,"Croatia, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, India, Ireland, Italy, Japan, Kazakhstan, Kyrgyzstan, Latvia, Liechtenstein, Lithuania, Luxembourg, Macedonia, Moldova, Mongolia, Montenegro, Netherlands, Norway, Pakistan, Poland, Portugal, Romania, Russia, Serbia, Slovakia,  Slovenia, Spain, Sweden, Switzerland, Tajikistan, Turkey, Ukraine, United Kingdom, United States, Uzbekistan, Afghanistan",,,"['Forest', 'Mountains', 'Riparian', 'Grassland', 'Shrubland', 'Anthropogenic biome', 'Rocky areas ', 'Wetlands ', 'Woodland']","['Temperate', 'Cold', 'Polar']",Not a migrant,,,Polygynandry,late spring-early summer,280 days,3-18 kits,8-10 weeks,jill,"dog, hob, jack",kit,,Stable,Least concern (LC)
62,Pronghorn,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Antilocapridae,,Antilocapra americana,1 Mln,10-12 yrs,96 km/h,34-65 kg,81-104 cm,1.3-1.5 m,,,,"['Chaparral', 'Grassland', 'Shrubland']","['Arid', 'Temperate', 'Cold']",Migrating,,,Polygamy,September-October,250 days,twins,1-1.5 years,,,"Fawn, twins",,Stable,Least concern (LC)
63,White-Tailed Deer,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Odocoileus,Odocoileus virginianus,,6-20 yrs,64 km/h,52-140 kg,80-100 cm,1.8-2.4 m,"Mexico, Nicaragua, Panama, Peru, Suriname, United States, Venezuela",,,"['Shrubland', 'Wetlands ', 'Estuaries', 'Intertidal zone', 'Anthropogenic biome', 'Chaparral', 'Forest', 'Rainforest', 'Swamp', 'Grassland', 'Neritic zone', 'Savanna', 'Coastal', 'Urban wildlife', 'Woodland', 'Mountains', 'Riparian', 'Agricultural', 'Montane forest', 'Suburban']","['Tropical', 'Temperate']",Migrating,,,Polygyny,October-December,6.5 months,1-2 fawns,1-2 years,"doe, hind","buck, stag",fawn,,Stable,Least concern (LC)
64,Sea Otter,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Enhydra,Enhydra lutris,"126,000",19-23 yrs,11 km/h,14-45 kg,,1-1.5 m,,,,"['Oceanic pelagic zone', 'Estuaries', 'Neritic zone', 'Coastal', 'Intertidal zone', 'Marine']",['Temperate'],Not a migrant,,,Polygyny,year-round,1 year,1 pup,6-8 months,female,male,"whelp, pup",,Decreasing,Endangered (EN)
65,Water Buffalo,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Bubalus,Bubalus bubalis,172 mln,25-29 yrs,,300-550 kg,120-133 cm,240-300 cm,,,,"['Lakes', 'Rivers', 'Wetlands ', 'Agricultural', 'Anthropogenic biome', 'Forest', 'Marsh', 'Riparian', 'Grassland', 'Suburban', 'Swamp', 'Urban wildlife', 'Freshwater', 'Savanna', 'Mountains', 'Brackish water', 'Coastal']","['Tropical', 'Temperate']",Not a migrant,,,Polygyny,year-round,300-320 days,1 calf,6-9 months,cow,bull,calf,,Decreasing,Not evaluated (NE)
66,Sable,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Martes,Martes zibellina,Unknown,8-18 yrs,,"700-1,800 g",,35-56 cm,,,,"['Forest', 'Mountains', 'Rocky areas ']","['Temperate', 'Cold']",Not a migrant,,,,June-August,245-298 days,1-7 kits,7 weeks,,,kit,,Increasing,Least concern (LC)
67,Sperm Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Physeteridae,Physeter,Physeter macrocephalus,100-360 Thou,70 yrs,45 km/h,12-40.8 t,,11-18 m,,,,"['Oceanic pelagic zone', 'Neritic zone', 'Marine', 'Coastal']","['Tropical', 'Temperate', 'Cold', 'Polar']",Migrating,,,Polygyny,peak is in the spring,14-16 months,1 calf,2 years,cow,bull,calf,,,
68,Mandrill,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Mandrillus,Mandrillus sphinx,Unknown,25-40 yrs,40 km/h,10-37 kg,45-65 cm,55-95 cm,,,,"['Forest', 'Rainforest', 'Anthropogenic biome', 'Riparian']",['Tropical'],Not a migrant,,,Polygyny,July-October,6 months,1 infant,6-12 months,female,male,infant,,Decreasing,Vulnerable (VU)
69,Spotted Hyena,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Hyaenidae,Crocuta,Crocuta crocuta,27-47 Thou,20-40 yrs,60 km/h,40.5-64 kg,70-91.5 cm,95-166 cm,,,,"['Mountains', 'Riparian', 'Grassland', 'Shrubland', 'Savanna', 'Woodland', 'Rocky areas ', 'Rainforest', 'Coastal', 'Forest', 'Caves']",['Tropical'],Not a migrant,,,Polygyny,year-round,4 months,1-3 cubs,12-18 months,female,male,cub,,Decreasing,Least concern (LC)
70,Fossa,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Eupleridae,Cryptoprocta,Cryptoprocta ferox,"2,635-8,626",15-20 yrs,56 km/h,5.5-8.6 kg,,70-80 cm,,,,"['Forest', 'Rainforest', 'Mountains']",['Tropical'],Not a migrant,,,Polyandry,September-October,3 months,2-4 cubs,15-20 months,,,cub,,Decreasing,Vulnerable (VU)
71,White Rhinoceros,Animalia,Chordata,Vertebrata,Mammalia,Perissodactyla,,Rhinocerotidae,Ceratotherium,Ceratotherium simum,"18,064",45-50 yrs,42 km/h,1440-3600 kg,160-186 cm,3.4-4 m,Zimbabwe,,,"['Grassland', 'Shrubland', 'Savanna']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,,Polygyny,"year-round, peaks in summer and autumn",16 months,1 calf,2-3 years,cow,bull,calf,,Decreasing,Near Threatened (NT)
72,Domestic Pig,Wild Boar,,Animalia,Chordata,Vertebrata,,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa domesticus,784.83 Mln,9-12 yrs,,17 km/h,,,,"['Agricultural', 'Anthropogenic biome']","['Tropical', 'Arid', 'Temperate', 'Cold']",Not a migrant,,,Monogamy,summer and winter,114 days,12 piglets,3 months,sow,boar,"piglet, farrow",,,
73,Vaquita,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Phocoenidae,Phocoena,Phocoena sinus,below 250,20 yrs,,45-50 kg,,135-141 cm,,,,"['Coastal', 'Neritic zone', 'Marine']",['Temperate'],Not a migrant,,,Polygyny,mid-April to May,10-11 months,1 calf,6-8 months,cow,bull,calf,,Decreasing,Critically endangered (CR)
74,Binturong,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,,Viverridae,Arctictis,Arctictis binturong,Unknown,18-25 yrs,24 km/h,9-14 kg,,71-84 cm,,,,"['Forest', 'Rainforest', 'Montane forest']",['Tropical'],Not a migrant,,,Monogamy,Year-round,91 days,2-6 cubs,6-8 weeks,,,cub,,Decreasing,Vulnerable (VU)
75,Gaur,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Bos,Bos gaurus,13-30 Thou,26 yrs,,"650-1,000 kg",165-220 cm,250-330 cm,,,,"['Forest', 'Rainforest', 'Anthropogenic biome', 'Grassland', 'Savanna', 'Shrubland', 'Agricultural', 'Montane forest']",['Tropical'],Not a migrant,,,Polygyny,"year-round, peak occurs in December-June",270-280 days,1 calf,9 months,cow,bull,calf,,Decreasing,Vulnerable (VU)
76,Asian Elephant,Animalia,Chordata,Vertebrata,Mammalia,Proboscidea,,Elephantidae,Elephas,Elephas maximus,41-52 Thou,70 yrs,43 km/h,2.7-4 t,2.4-2.8 m,5.5-6.5 m,,,,"['Forest', 'Rainforest', 'Grassland', 'Shrubland', 'Anthropogenic biome', 'Agricultural', 'Montane forest']",['Tropical'],Not a migrant,,,Polygyny,Year-round,18-22 months,1 calf,18 months,cow,bull,calf,,Decreasing,Endangered (EN)
77,Aardvark,Animalia,Chordata,Vertebrata,Mammalia,Tubulidentata,,Orycteropodidae,Orycteropus,Orycteropus afer,Unknown,18-23 yrs,38-42 km/h,60-80 kg,60 cm,105-130 cm,,,,"['Grassland', 'Forest', 'Savanna', 'Shrubland', 'Woodland', 'Montane forest', 'Rainforest']","['Tropical', 'Temperate']",Not a migrant,,,Polygyny,northern Africa: October-November; South Africa: May-July,7 months,1 cub,6 months,sow,boar,cub,,,
78,Dugong,Animalia,Chordata,Vertebrata,Mammalia,Sirenia,,Dugongidae,Dugong,Dugong dugon,"85,000",70 yrs,22 km/h,150-400 kg,,2.7-3 m,,,,"['Coastal', 'Estuaries', 'Marine', 'Intertidal zone', 'Neritic zone', 'Brackish water', 'Benthic']",['Tropical'],Not a migrant,,,Polyandry,year-round,13-14 months,1 calf,6-9 years,cow,bull,calf,,Decreasing,Vulnerable (VU)
79,Asian Palm Civet,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,,Viverridae,Paradoxurus,Paradoxurus hermaphroditus,Unknown,15-24 yrs,,2-5 kg,,48-59 cm,,,,"['Urban wildlife', 'Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest', 'Suburban', 'Grassland', 'Shrubland', 'Mountains', 'Montane forest']",['Tropical'],Not a migrant,,,,year-round,2 months,2-5 pups,3 months,,,pup,,Decreasing,Least concern (LC)
80,Naked Mole-Rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Heterocephalidae,Heterocephalus,Heterocephalus glaber,Unknown,32 yrs,,30-35 g,,8-10 cm,,,,"['Grassland', 'Savanna', 'Shrubland']",['Tropical'],Not a migrant,,,Polyandry,"once a year, year-round",70 days,3-12 pups,1 month,,,pup,,Stable,Least concern (LC)
81,Red Deer,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Cervus,Cervus elaphus,Unknown,20 yrs,70 km/h,120-240 kg,95-130 cm,160-250 cm,"Estonia, France, Georgia, Germany, Hungary, Iran, Ireland, Italy, Latvia, Lithuania, Luxembourg, Macedonia, Moldova, Montenegro, Netherlands, Norway, Poland, Romania, Serbia, Slovakia, Slovenia, Sweden, Switzerland, Tunisia, Turkey, Ukraine, Greece,  Morocco",,,"['Shrubland', 'Rocky areas ', 'Anthropogenic biome', 'Agricultural', 'Forest', 'Mountains', 'Riparian', 'Grassland', 'Woodland']","['Temperate', 'Cold']",Migrating,,,Polygyny,September-October,240-262 days,1 fawn,1 year,hind,"stag, hart",fawn,,Increasing,Least concern (LC)
82,Sloth Bear,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Melursus,Melursus ursinus,"20,000",40 yrs,,55-145 kg,60-92 cm,1.4-1.9 m,,,,"['Forest', 'Shrubland', 'Anthropogenic biome', 'Grassland', 'Savanna', 'Agricultural', 'Mountains', 'Montane forest']",['Tropical'],Not a migrant,,,,varies with location,210 days,1-2 cubs,24-36 months,sow,boar,cub,,Decreasing,Vulnerable (VU)
83,House Mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Mus,Mus musculus,Unknown,12 mos-6 yrs,13 km/h,10-25 g,,7.5-10 cm,"Bulgaria, Croatia, Czech Republic, Denmark, Egypt, Eritrea, Estonia, Faroe Islands, Finland, France, Georgia, Germany, Greece, Vatican,  Hungary, Iceland, India,  Iran, Iraq, Ireland, Israel, Italy, Japan, Jordan, Kazakhstan, North Korea, South Korea, Kyrgyzstan, Latvia, Lebanon, Libya, Liechtenstein, Lithuania, Luxembourg, Macedonia, Malta, Moldova, Monaco, Mongolia, Montenegro, Morocco, Nepal, Netherlands, Norway, Oman, Pakistan, Palestine, Poland, Portugal, Romania, Russia,  Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Syria, Tajikistan, Tunisia, Turkey, Turkmenistan, Ukraine, United Arab Emirates, United Kingdom, Uzbekistan, Yemen, Afghanistan",,,"['Urban wildlife', 'Shrubland', 'Anthropogenic biome', 'Grassland', 'Wetlands ', 'Coastal', 'Agricultural', 'Dunes', 'Marsh', 'Suburban']","['Tropical', 'Temperate', 'Cold']",Not a migrant,,,Polygyny,year-round; usually in late spring-early fall in the North,19-21 days,5-6 pups,3 weeks,doe,buck,"pup, pinkie, kit",,Stable,Least concern (LC)
84,Giant Golden-Crowned Flying Fox,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Pteropodidae,Acerodon,Acerodon jubatus,"10,000",12-23 yrs,,1050-1200 g,,178-290 mm,,,,"['Forest', 'Riparian', 'Montane forest']",['Tropical'],Not a migrant,,,,births occur in April-June,,1 pup,,female,male,pup,,Decreasing,Endangered (EN)
85,Muskox,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Ovibos,Ovibos moschatus,133-136 Thou,12-20 yrs,60km/h,180-410 kg,1-1.5 m,135-250 cm,"Russia, United States",,,['Mountains'],"['Cold', 'Polar']",Not a migrant,,,Polygyny,starts in late June-early July,8-9 months,1 calf,2 years,cow,bull,calf,,Stable,Least concern (LC)
86,Brown Rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Rattus,Rattus norvegicus,Unknown,2-4 yrs,,250-350 g,,20-25 cm,"Albania, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Brunei, Bulgaria, Cambodia,",,,"['Urban wildlife', 'Agricultural', 'Anthropogenic biome', 'Suburban']","['Tropical', 'Temperate', 'Cold']",Not a migrant,,,Polygynandry,Year-round,22-24 days,8 pups,3-4 weeks,doe,buck,"pup, pinkie, kit",,Stable,Least concern (LC)
87,Florida panther,Cougar,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,Puma,,,,,,"['Forest', 'Shrubland']",[],,,,,,,,,,,,,,
88,African Buffalo,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Syncerus,Syncerus caffer,569-573 Thou,11-29 yrs,,"250-1,000 kg",1-1.7 m,1.7-3.4 m,,,,"['Wetlands ', 'Shrubland', 'Forest', 'Rainforest', 'Riparian', 'Grassland', 'Savanna', 'Woodland', 'Mountains', 'Swamp', 'Montane forest']",['Tropical'],Not a migrant,,,Polygynandry,rainy season,11.5 months,1 calf,1-2 years,cow,bull,calf,,Decreasing,Near Threatened (NT)
89,Rusty-Spotted Cat,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Prionailurus,Prionailurus rubiginosus,"below 10,000",18 yrs,,0.9-1.6 kg,,35-48 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Grassland', 'Savanna', 'Shrubland', 'Rainforest', 'Rocky areas ']","['Tropical', 'Temperate']",Not a migrant,,,Polygyny,Year-round,67 days,1-2 kittens,35-60 days,queen,tomcat,kitten,,Decreasing,Near Threatened (NT)
90,Dhole,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Cuon,Cuon alpinus,"4,500-10,500",16 yrs,72.4 km/h,12-18 kg,42-55 cm,88-113 cm,,,,"['Shrubland', 'Forest', 'Rainforest', 'Grassland', 'Mountains', 'Montane forest']","['Tropical', 'Temperate']",Not a migrant,,,Monogamy,September-February,60-63 days,3-4 pups,2 months,,,pup,,Decreasing,Endangered (EN)
91,Clouded Leopard,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Neofelis,Neofelis nebulosa,"below 10,000",11-17 yrs,64 km/h,11.5-23 kg,50-55 cm,68-108 cm,,,,"['Forest', 'Rainforest', 'Grassland', 'Shrubland', 'Swamp', 'Montane forest']","['Tropical', 'Temperate']",Not a migrant,,,Polygyny,December-March,3 months,1-5 cubs,9 months,leopardess,leopard,cub,,Decreasing,Vulnerable (VU)
92,Maned Wolf,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Chrysocyon,Chrysocyon brachyurus,"17,000",13-15 yrs,,23 kg,90 cm,100 cm,,,,"['Shrubland', 'Wetlands ', 'Anthropogenic biome', 'Forest', 'Grassland', 'Savanna', 'Agricultural', 'Riparian', 'Woodland']",['Tropical'],Not a migrant,,,Monogamy,November-April,60-65 days,2-6 pups,1 year,bitch,dog,"pup, whelp",,,
93,Sun Bear,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Helarctos,Helarctos malayanus,Unknown,30 yrs,48 km/h,27-80 kg,,120-150 cm,,,,"['Forest', 'Rainforest', 'Anthropogenic biome', 'Shrubland', 'Agricultural', 'Mountains', 'Montane forest']",['Tropical'],Not a migrant,,,,year-round,95-174 days,1-2 cubs,2 years,sow,boar,cub,,Decreasing,Vulnerable (VU)
94,Pallas's Cat,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Otocolobus,Otocolobus manul,"58,000",8-11.5 yrs,,2.5-4.5 kg,,46-65 cm,,,,"['Mountains', 'Grassland', 'Rocky areas ', 'Shrubland', 'Caves']","['Arid', 'Temperate', 'Cold']",Not a migrant,,,Polygyny,December-March,9-10 weeks,3-6 kittens,4-5 months,queen,tomcat,kitten,,Decreasing,Least concern (LC)
95,African Bush Elephant,Animalia,Chordata,Vertebrata,Mammalia,Proboscidea,,Elephantidae,Loxodonta,Loxodonta africana,"above 15,000",60-75 yrs,40 km/h,"3,600-5,400",3-3.5 m,2.2-4 m,,,,"['Forest', 'Rainforest', 'Grassland', 'Shrubland', 'Savanna', 'Wetlands ', 'Woodland', 'Mountains', 'Montane forest']",['Tropical'],Not a migrant,,,Polygyny,"Year-round, peaks occur during the rainy seasons",2 years,1 calf,6 years,cow,bull,calf,,Increasing,Vulnerable (VU)
96,Domestic Yak,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Bos,Bos grunniens,,25 yrs,,225-585 kg,105-138 cm,3250 mm,,,,"['Agricultural', 'Anthropogenic biome']","['Temperate', 'Cold']",,,,Polygyny,July-September,257-270 days,1 calf,1 year,cow,bull,calf,,,
97,Eastern Gray Squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Sciurus,Sciurus carolinensis,Unknown,12.5-20 yrs,25 km/h,400-600 g,,23-30 cm,"Italy, South Africa, United Kingdom",,,"['Forest', 'Anthropogenic biome', 'Suburban', 'Urban wildlife', 'Woodland', 'Agricultural']","['Temperate', 'Cold']",Not a migrant,,,Polygynandry,"December-February, May-June",40-44 days,2-3 kittens,12 weeks,doe,buck,"pup, kit, kitten",,Increasing,Least concern (LC)
98,Indian Rhinoceros,Animalia,Chordata,Vertebrata,Mammalia,Perissodactyla,,Rhinocerotidae,Rhinoceros,Rhinoceros unicornis,"3-3,5 Thou",40-50 yrs,42 km/h,"1,6-2,2 t",148-186 cm,310-380 cm,,,,"['Forest', 'Freshwater', 'Wetlands ', 'Agricultural', 'Anthropogenic biome', 'Bog', 'Marsh', 'Swamp', 'Riparian']",['Tropical'],Not a migrant,,,Polygyny,year-round,480 days,1 calf,3 years,cow,bull,calf,,Increasing,Vulnerable (VU)
99,Bactrian Camel,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Camelidae,Camelus,Camelus bactrianus,above 1 mln,20-50 yrs,64 km/h,"300-1,000 kg",180-230 cm,225-350 cm,,,,"['Grassland', 'Dunes', 'Mountains', 'Rocky areas ']","['Arid', 'Temperate']",Migrating,,,Polygyny,,13 months,1-2 calves,3-5 years,cow,bull,calf,,Decreasing,Not evaluated (NE)
100,Black Rhinoceros,Animalia,Chordata,Vertebrata,Mammalia,Perissodactyla,,Rhinocerotidae,Diceros,Diceros bicornis,"4,880-5,000",30-49 yrs,42-58 km/h,"800-1,400 kg",140-180 cm,3-3.8 m,,,,"['Shrubland', 'Savanna', 'Woodland']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,,Polygyny,year-round,15 months,1 calf,4 years,cow,bull,calf,,Increasing,Critically endangered (CR)
101,Markhor,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Capra,Capra falconeri,"5,754",10-13 yrs,17 km/h,32-110 kg,65-115 cm,132-186 cm,,,,"['Rocky areas ', 'Forest', 'Mountains', 'Shrubland', 'Woodland']","['Tropical', 'Temperate']",Altitudinal Migrant,,,Polygyny,winter,135-170 days,1-2 kids,6 months,"doe, nanny","buck, billy","kid, billy",,Increasing,Near Threatened (NT)
102,Eurasian Lynx,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Lynx,Lynx lynx,70-80 Thou,13-25 yrs,80 km/h,8-30 kg,60-75 cm,80-130 cm,,,,"['Forest', 'Mountains', 'Shrubland', 'Grassland', 'Rocky areas ', 'Montane forest']","['Cold', 'Temperate']",Not a migrant,,,Polygyny,February-April,2 months,2-3 kittens,10 months,,,kitten,,Stable,Least concern (LC)
